Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Date added / updated,Logo Image,Target locations hide,Regions,Regions 2,Sector,Units (min),Units (max),Contact,Phone,Website,email,Recent planning application,Application 1 - Link to planning application,Application 1 - LPA of the application,Application 1 - no. of dwellings,Applicattion 1 - Date,Contact linkedin,Link to recent planning applications
Imperial Homes,imperial-homes,63c82b7a254c065170a9ee94,66604df04f2ea52d97fd5a86,Wed Jun 05 2024 11:37:20 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:20 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df04f2ea52d97fd5a6e_65e9a3193856efb0b1b5ee11_65817a196dd9ffc5d4c23c85_64946857fd417350336540ee_Imperial%25252520Homes.jpeg,Fareham,South East,south-east,Residential,10,50,Ben Olds (Director),1489784847,https://imperialhomessouthern.co.uk/land.html,info@imperialhomessouthern.co.uk,false,,,,,https://www.linkedin.com/in/ben-o-726b2962/,
Inland Homes,inland-homes,63c82b7a254c065170a9ee94,66604df11ffe1f9273e8645a,Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df11ffe1f9273e86442_65e9a31f1b1ac5e97f578cce_65817a199ed1033a033ecff1_64946857fd417350336540cd_Inland%25252520Homes.jpeg,Poole,"South East, London, Midlands",south-east; london; midlands,Residential,10,50,Des Wicks (Group Land Director),,https://www.inlandhomesplc.com/about-us/our-strategy/,dwicks@inlandplc.com,false,,,,,,
Innerspace Homes,innerspace-homes,63c82b7a254c065170a9ee94,66604df1b9ac4df8f78c2fca,Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df1b9ac4df8f78c2fbd_65e9a31913484d499707bf3e_65817a1a9bc86c0ec2038393_64946857fd417350336540d4_Innerspace%25252520Homes.jpeg,Huntingdonshire,Midlands,midlands,Residential,10,25,Daniel Abbott (Founder),,https://www.innerspacehomes.com/approach,info@innerspacehomes.com,false,,,,,https://www.linkedin.com/in/daniel-abbott-832865b/,
Inside Land,inside-land,63c82b7a254c065170a9ee94,66604df11ffe1f9273e86458,Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df11ffe1f9273e86447_65e9a319db32e9c2ef6efa70_65817a1a206eb252fe5d796d_64946857fd417350336540d1_Inside%25252520Land%25252520logo.png,,"South East, Midlands, London, North West, North East",south-east; midlands; london; north-west; north-east,Residential,5,50,Tom Dickens (Director),,https://insideland.co.uk/requirements/,tom@insideland.co.uk,false,,,,,https://www.linkedin.com/in/tom-dickens-14b08326/,https://www.planninglist.co.uk/sectors/residential?*=Inside+Land
Irwell Valley Homes,irwell-valley-homes,63c82b7a254c065170a9ee94,66604df18bcce34c9440d10a,Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df18bcce34c9440d0ff_65e9a319cccd151806bc3d8a_65817a1a24f3ce9a4a3f2209_64946857fd417350336540d2_Irwell%25252520Valley%25252520Homes%25252520logo.png,Tameside,"North West, Midlands",midlands; north-west,Residential,5,25,Ed Hogarth (Head of Asset Management),,https://www.irwellvalley.co.uk/about-us/who-we-are-and-what-we-do/our-homes/,Ed.Hogarth@irwellvalley.co.uk,false,,,,,https://www.linkedin.com/in/ed-hogarth-b2503b42/,https://www.planninglist.co.uk/sectors/residential?*=Irwell+Valley+Homes
Jarvis Homes,jarvis-homes,63c82b7a254c065170a9ee94,66604df1e6172bc0dc322702,Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:21 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df1e6172bc0dc3226fc_65e9a3198c1767c3ea7b1a96_65817a1b47e53825d711b541_64946857fd417350336540d7_Jarvis%25252520Homes%25252520logo.jpeg,,South East,south-east,Residential,5,50,Michael Margereson (Director),,https://jarvishomes.com/land-acquisition/,land@jarvishomes.com,false,,,,,https://www.linkedin.com/in/michael-margereson-19937661/,https://www.planninglist.co.uk/sectors/residential?*=Jarvis+Homes
Jeakins Weir,jeakins-weir,63c82b7a254c065170a9ee94,66604df295f67f7307f224b1,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df195f67f7307f22493_65e9a319db32e9c2ef6efa8d_65817a1aea74e8b64e6b72af_64946857fd417350336540cc_JW%25252520logo.png,,Midlands,midlands,Residential,10,50,Alistair Weir (MD),,https://www.jeakinsweir.co.uk/our-sectors/property-development/,Alistair@jeakinsweir.co.uk,false,,,,,https://www.linkedin.com/in/alistair-weir-14420520/,https://www.planninglist.co.uk/sectors/residential?*=Jeakins+Weir
Jelson Homes,jelson-homes,63c82b7a254c065170a9ee94,66604df2896849f79b6d0b0d,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df2896849f79b6d0b00_65e9a31984650dce82554e5e_65817a1acb26dce1b6f156e3_64946857fd417350336540c5_Jelson%25252520Homes%25252520logo.jpeg,"Hinckley, SouthHolland, Charnwood",Midlands,midlands,Residential,50,500,James Jelley (Director),,https://jelson.co.uk/land,jamesj@jelson.co.uk,false,,,,,https://www.linkedin.com/in/james-jelley-b5133817b/,https://www.planninglist.co.uk/sectors/residential?*=Jelson+Homes
Jenny Moody,jenny-moody,63c82b7a254c065170a9ee94,66604df26bae23ce22a65c2d,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df26bae23ce22a65c05_65e9a319f3cabdc9f1a1b3ca_65817a1c2144d45074e41e02_64946857fd417350336540d6_Jenny%25252520Moody.png,,South East,south-east,Residential,5,15,Steve Wheelhouse (Land Manager),,https://www.jennymoodyproperties.co.uk/,reception@jennymoodyproperties.co.uk,false,,,,,https://www.linkedin.com/in/steve-wheelhouse-80017089/,https://www.planninglist.co.uk/sectors/residential?*=Jenny+Moody
Jessup Brothers,jessup-brothers,63c82b7a254c065170a9ee94,66604df22cd732f960a8dc42,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df22cd732f960a8dc3a_65e9a319b96837861106b627_65817a1c5f11a0fdf5f04d50_64946857fd417350336540c7_Jessup%25252520Brothers%25252520logo.png,,Midlands,midlands,Residential,25,100,Clive Jessup (MD),,https://jessupbrothers.co.uk/features/land-and-build-packages/,Clive.Jessup@jessupbrothers.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Jessup+Brothers
Johnnie Johnson Housing,johnnie-johnson-housing,63c82b7a254c065170a9ee94,66604df2b64ffb40b244be53,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df2b64ffb40b244be41_65e9a31a4bbc68da91d35473_65817a1c28ecd57f808a4bf8_64946857fd417350336540c9_Johnnie%25252520Johnson%25252520Housing.jpeg,,North West,north-west,Residential,50,250,,,https://www.jjhousing.co.uk/about-us/our-partners-and-suppliers/land-opportunities-acquisition/,,false,,,,,,
Jones Homes,jones-homes,63c82b7a254c065170a9ee94,66604df26bae23ce22a65c88,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df26bae23ce22a65c80_65e9a31af62bb7d2f9059227_65817a1c0201cdf8b8699511_64946857fd417350336540ed_Jones%25252520Homes%25252520logo.jpeg,"SouthLakeland, Selby","North West, Midlands, South East",north-west; midlands; south-east,Residential,10,50,Simon Collins (Land Manager),,https://www.jones-homes.co.uk/land-required/,Simon.Collins@emerson.co.uk,true,https://www.kirklees.gov.uk/beta/planning-applications/search-for-planning-applications/detail.aspx?id=2023/91116,Kirklees,67,Fri Apr 28 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/simon-collins-b47ab414/,https://www.planninglist.co.uk/sectors/residential?*=Jones+Homes
Joseph Homes,joseph-homes,63c82b7a254c065170a9ee94,66604df2790e867199b21325,Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:22 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df2790e867199b21318_65e9a31aa6b6449e814022f1_65817a1c6dd9ffc5d4c23dd3_64946857fd417350336540c8_Joseph%25252520Homes%25252520Logo.jpeg,,London,london,Residential,10,250,James O'Brien (Development Director),,https://josephhomes.co.uk/about-us/,james@josephhomes.co.uk,false,,,,,https://www.linkedin.com/in/james-o-brien-2aa51415/,https://www.planninglist.co.uk/sectors/residential?*=Joseph+Homes
Junnell Homes,junnell-homes,63c82b7a254c065170a9ee94,66604df5c5ec9df7169f4f24,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df4c5ec9df7169f4e6b_65e9a31ac8782ba4bdb33265_65817a1cf66cbf66186d4b0f_64946857fd417350336540e2_Junnell%25252520Homes%25252520logo.jpeg,Chichester,South East,south-east,Residential,5,25,Tim Ash (Land Buyer),07549 301020,https://junnell.co.uk/land.php,tim@junnell.co.uk,false,,,,,https://www.linkedin.com/in/timothy-ash-40a27787/,
K & M Grant,k-m-grant,63c82b7a254c065170a9ee94,66604df5ec5a1da367bd7cf4,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df4ec5a1da367bd7989_65e9a31a36e63c097afdf0b4_65817a1d6dd9ffc5d4c23e7d_64946857fd417350336540c4_KM%25252520Grant%25252520logo.png,,South East,south-east,Residential,5,10,Martin Grant (Founder),,https://www.kmgrant.co.uk/about-us,martin@kmgrant.co.uk,false,,,,,https://www.linkedin.com/in/martin-grant-80a33086/,
Karbon Homes,karbon-homes,63c82b7a254c065170a9ee94,66604df3196d6207729a533b,Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df3196d6207729a532c_65e9a31a8eee56829e785a44_65817a1d6d3f9aec8a08264a_64c2464b5b545656f2d006e8_Karbon%25252520Homes.jpeg,,North East; North West,north-east; north-west,,25,150,Lea Smith (Development Manager),,https://www.karbonhomes.co.uk/,Lea.Smith@karbonhomes.co.uk,true,http://planning.southtyneside.info/Northgate/PlanningExplorer/Generic/StdDetails.aspx?PT=Planning%20Applications%20On-Line&TYPE=PL%2FPlanningPK.xml&PARAM0=845118&XSLT=%2FNorthgate%2FPlanningExplorer%2FSiteFiles%2FSkins%2FDefault_AA%2Fxslt%2FPL%2FPLDetails.xslt&FT=Planning%20Application%20Details&PUBLIC=Y&XMLSIDE=%2FNorthgate%2FPlanningExplorer%2FSiteFiles%2FSkins%2FDefault_AA%2FMenus%2FPL.xml&DAURI=PLANNING,SouthTyneside,95,Wed May 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/lea-smith-ab0522b3/,https://www.planninglist.co.uk/sectors/residential?*=Karbon+Homes
Karm Homes,karm-homes,63c82b7a254c065170a9ee94,66604df326448506de4487d7,Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df326448506de4487c1_65e9a31a10a6fe163bd7741e_65817a1da045a6e103fa9088_64946857fd417350336540c6_Karm%25252520Homes%25252520logo.jpeg,"EastDorset, Christchurch",South East,south-east,Residential,5,25,Jon Winson (Director),,https://www.karmhomes.com/land-required/,info@karmhomes.com,false,,,,,https://www.linkedin.com/in/jon-winson-97b176115/,
Kebbell Development,kebbell-development,63c82b7a254c065170a9ee94,66604df35481ca44d845092d,Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df35481ca44d845091d_65e9a31afbc275a629c7f148_65817a1dea74e8b64e6b73ad_64946857fd417350336540cb_Kebbell%25252520Development.png,,"London, North West, North East, Midlands",london; north-west; north-east; midlands,Residential,5,50,Dudley Mills (Land and Planning Director),,https://kebbell.co.uk/land,Dudley@kebbell.co.uk,false,,,,,https://www.linkedin.com/in/dudley-mills-72380333/,
Keepmoat Homes,keepmoat-homes,63c82b7a254c065170a9ee94,66604df39e8291172c022993,Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:23 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 23 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df39e8291172c0227ef_65e9a31b87f10c3019cc1455_65817a1d1c0ad8e3be775817_64946857fd417350336540ca_Keepmoat%25252520Homes%25252520logo.jpeg,,Midlands,midlands,Residential,10,100,John Owen (Land & Partnerships Manager),,https://www.keepmoat.com/corporate/land/our-land-team,John.Owen@keepmoat.com,true,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=S60Y2ALJLKM00,NorthEastLincs,318,Fri Jan 19 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/john-owen-265344b7/,https://www.planninglist.co.uk/sectors/residential?*=Keepmoat+Homes
Kellen Homes,kellen-homes,63c82b7a254c065170a9ee94,66604df4817086b7041159f0,Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df3817086b7041159c9_65e9a31b8c1767c3ea7b1ad7_65817a1d0000cb93c2d1151b_64946857fd417350336540e6_Kellen%25252520Homes%25252520Logo.png,,North West,north-west,Residential,10,100,Mark Calvert (Land Director),01925 363108,https://kellenhomes.com/land-planning,land@kellenhomes.com,false,,,,,https://www.linkedin.com/in/mark-calvert-5940671a/?originalSubdomain=uk,https://www.planninglist.co.uk/sectors/residential?*=Kellen+Homes
Kendrick Homes,kendrick-homes,63c82b7a254c065170a9ee94,66604df42548322c8b3104cf,Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df42548322c8b31047a_65e9a31bbb7e199b53d86f64_65817a1fa229aefed9ab03aa_64946857fd417350336540ce_Kendrick%25252520Homes.jpeg,,Midlands,midlands,Residential,5,25,Charlie Kendrick (Land Buyer),,,,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Kendrick+Homes
Keon Homes,keon-homes,63c82b7a254c065170a9ee94,66604df4add8bc3faa0aabdc,Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df4add8bc3faa0aab77_65e9a31f1b1ac5e97f578ce2_65817a1e7c23cf918dd4d13b_64946857fd417350336540bd_Keon%25252520Homes%25252520logo.jpeg,,"Midlands, North West",midlands; north-west,Residential,10,50,Warren Bolton (Director),,https://www.tara-group.co.uk/land-and-planning/land-sell,info@keonhomes.co.uk,false,,,,,https://www.linkedin.com/in/warren-bolton-bschons-mciob-70767859/,https://www.planninglist.co.uk/sectors/residential?*=Keon+Homes
Keyworker Homes,keyworker-homes,63c82b7a254c065170a9ee94,66604df4c8f1e85c118999fe,Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:24 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df4c8f1e85c118999f2_65e9a31b1e5f61ad3c445372_65817a1ecd9dde6e9bc3e5bb_64946857fd417350336540c0_Keyworker%25252520Homes%25252520logo.jpeg,,North West,north-west,Residential,10,50,Eain Bailey (MD),,https://keyworkerhomesltd.co.uk/land-wanted/,E.Bailey@keyworkerhomesltd.co.uk,false,,,,,https://www.linkedin.com/in/eian-bailey-97598027/,https://www.planninglist.co.uk/sectors/residential?*=Keyworker+Homes
Kingerlee Homes,kingerlee-homes,63c82b7a254c065170a9ee94,66604df597a50c65e2557a79,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df597a50c65e2557a69_65e9a31b87f10c3019cc148e_65817a1e6d3f9aec8a08271e_64946857fd417350336540bc_Kingerlee%25252520Homes%25252520logo.png,WestOxfordshire,South East,south-east,Residential,5,25,Colin Botton (Commercial Director),,https://www.kingerleehomes.co.uk/index.php?page=kingerlee-homes,Colin.Botton@kingerlee.co.uk,false,,,,,,https://www.planninglist.co.uk/sectors/residential?*=Kingerlee+Homes
Kingswood Homes,kingswood-homes,63c82b7a254c065170a9ee94,66604df552cc655fc2f034e7,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df552cc655fc2f034dd_65e9a31bcddebe9a61b0aeaa_65817a1ffe202571ef2e7e79_64946857fd417350336540bb_Kingswood%25252520Homes%25252520logo.jpeg,,"North West, South West",north-west; south-west,Residential,5,,Andrea Fortune (Land & Planning Director),01772 281138,https://kingswoodhomes.uk.com/land/,Andrea@kingswoodhomes.uk.com,false,,,,,https://www.linkedin.com/in/andrea-fortune-04720190/,
Kirkwood Homes,kirkwood-homes,63c82b7a254c065170a9ee94,66604df5bdca926c1d65d2c0,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df5bdca926c1d65d1d2_65e9a31bba994302c679c8dc_65817a1fa1edb8c6b9680ca7_64946857fd417350336540c2_Kirkwood%25252520Homes%25252520logo.jpeg,"Dundee, Highland",Scotland,scotland,Residential,10,100,Michael Thomson (Land Manager),,https://www.kirkwoodhomes.co.uk/development/,Michael.Thomson@kirkwood-homes.com,true,https://planningapps.pkc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RSN2Y8MKIEV00,Perth,20,Thu May 25 2023 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/michael-thomson-2a577830/,https://www.planninglist.co.uk/sectors/residential?*=Kirkwood+Homes
KYN,kyn,63c82b7a254c065170a9ee94,66604df58889b1c9732aa2fa,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df58889b1c9732aa2f4_65e9a31c2a4eece2096ffdb8_65e0be90201679ead68c724f_KYN.jpeg,,London,london,Care,,,David Roe (Development Director),,http://www.kyn.co.uk/land,david.roe@kyn.co.uk,false,,,,,https://www.linkedin.com/in/david-roe-kyn/,
L And S Homes,l-and-s-homes,63c82b7a254c065170a9ee94,66604df56e267f2088643da3,Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:25 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df56e267f2088643d5b_65e9a31cc65a9233d08877a5_65817a20c1d57744f80e504e_64946857fd417350336540ba_L%25252520And%25252520S%25252520Homes%25252520logo.jpeg,Perth,Scotland,scotland,Residential,10,50,Jonathan Law (Managing Director),,http://www.landshomes.co.uk/joint-ventures/,jonathan.law@landshomes.co.uk,false,,,,,,
Lagan Homes,lagan-homes,63c82b7a254c065170a9ee94,66604df6a477efcafeebdd10,Wed Jun 05 2024 11:37:26 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:26 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Fri May 10 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df6a477efcafeebdd00_65e9a31cad8e74d9fc479d0f_65817a20d6fa664b7ddfa91b_64946857fd417350336540c3_Lagan%25252520Homes.jpeg,,South East,south-east,Residential,10,100,Charlie Winand (Land Manager),7880065617,https://www.lagan-homes.com/land-acquisition-planning/,charlie.winand@laganhomes.com,true,https://planningregister.planningsystemni.gov.uk/application/685493,LisburnCastlereagh,50,Wed Mar 27 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://www.linkedin.com/in/charlie-winand-aa8ba21b2/,https://www.planninglist.co.uk/sectors/residential?*=Lagan+Homes
Lancet Homes,lancet-homes,63c82b7a254c065170a9ee94,66604df6af410728297727ae,Wed Jun 05 2024 11:37:26 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:37:26 GMT+0000 (Coordinated Universal Time),Wed Jun 05 2024 11:48:03 GMT+0000 (Coordinated Universal Time),Tue Jan 30 2024 00:00:00 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62fa4715b9938694d2e61778/66604df6af410728297727a7_65e9a31ce05ab5c325d35375_65817a20a1edb8c6b9680cf2_64946857fd417350336540be_Lancet%25252520Homes%25252520Logo.jpeg,SouthRibble,North West,north-west,Residential,10,100,Michael Nuttall (Property Director),,https://www.lancet-homes.co.uk/land-requirements,land@lancet-homes.co.uk,true,https://publicaccess.rochdale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=RTQA4MNBK5500,Rochdale,18,Wed May 31 2023 00:00:00 GMT+0000 (Coordinated Universal Time),,https://www.planninglist.co.uk/sectors/residential?*=Lancet+Homes
